Datasize,IdleTimeout,BacklogTimeout,Stage0_Tasks,Stage0_Median,Stage0_Max,Stage1_Tasks,Stage1_Median,Stage1_Max,Stage2_Tasks,Stage2_Median,Stage2_Max,Stage3_Tasks,Stage3_Median,Stage3_Max,Stage4_Tasks,Stage4_Median,Stage4_Max,Stage5_Tasks,Stage5_Median,Stage5_Max,Stage6_Tasks,Stage6_Median,Stage6_Max,Stage7_Tasks,Stage7_Median,Stage7_Max,ExecutionTime
20,15,10,1836,0.019,1,2,2,2,1,2,2,1,2,2,3,1,2,15,7,10,200,0.023,0.4,1,0.6,0.6,65
20,10,7,1836,0.019,2,1,3,3,3,4,4,1,3,3,2,5,5,15,9,11,200,0.018,1,1,0.7,0.7,63
20,14,9,1836,0.019,3,3,2,2,1,2,2,2,2,2,1,0.3,0.3,15,5,7,200,0.016,0.4,1,0.6,0.6,55
20,11,8,1836,0.018,1,1,2,2,2,3,3,1,3,3,3,3,3,15,8,13,200,0.051,0.8,1,0.7,0.7,61
20,18,15,1836,0.018,1,1,3,3,2,2,2,3,2,3,1,1,1,15,6,9,200,0.023,0.4,1,0.7,0.7,56
20,18,20,1836,0.019,21,2,2,2,1,2,2,3,0.6,1,1,0.5,0.5,15,5,6,200,0.014,0.2,1,0.7,0.7,73
20,8,9,1836,0.021,1,1,3,3,3,3,3,1,2,2,2,4,4,15,6,9,200,0.018,0.8,1,0.8,0.8,65
20,13,14,1836,0.02,1,1,2,2,1,3,3,2,3,3,3,3,3,15,7,10,200,0.018,0.8,1,1,1,67
20,8,10,1836,0.021,2,1,3,3,2,4,4,3,4,4,1,2,2,15,6,9,200,0.021,0.8,1,0.7,0.7,69
20,7,9,1836,0.018,1,2,3,3,3,2,3,1,2,2,1,3,3,15,6,7,200,0.046,0.4,1,0.7,0.7,61
100,15,10,1836,0.021,1,1,2,2,1,3,3,5,2,2,2,0.9,0.9,28,5,11,200,0.02,1,1,0.7,0.7,72
100,10,7,1836,0.022,1,1,4,4,2,4,4,1,3,3,5,3,3,28,6,9,200,0.082,0.7,1,0.7,0.7,67
