Datasize,IdleTimeout,BacklogTimeout,ExecutionTime
20,5,15,50
20,20,8,47
20,7,8,56
20,16,8,56
20,13,14,47
20,10,7,59
20,4,12,62
20,35,30,43
20,3,8,60
20,10,6,62
100,5,15,57
100,20,8,48
100,7,8,60
100,16,8,47
100,13,14,42
100,10,7,43
100,4,12,53
100,35,30,41
100,3,8,52
100,10,6,60
200,5,15,60
200,20,8,43
200,7,8,57
200,16,8,56
200,13,14,46
200,4,12,57
200,35,30,44
200,12,8,57
200,3,7,51
200,10,6,55
500,5,15,56
500,20,8,44
500,7,8,63
500,16,8,41
500,10,7,50
500,4,12,55
500,35,30,45
500,12,8,51
500,3,8,57
500,10,6,53
