Datasize,IdleTimeout,BacklogTimeout,ExecutorsAdded,ExecutorsRemoved,Stage0_Tasks,Stage0_Median,Stage0_Max,Stage1_Tasks,Stage1_Median,Stage1_Max,Stage2_Tasks,Stage2_Median,Stage2_Max,Stage3_Tasks,Stage3_Median,Stage3_Max,Stage4_Tasks,Stage4_Median,Stage4_Max,Stage5_Tasks,Stage5_Median,Stage5_Max,ExecutionTime
20,5,15,3,2,1823,0.019,1,3,1,2,1,2,2,4,4,4,200,0.009,0.2,1,0.7,0.7,50
20,20,8,5,0,1823,0.021,2,3,2,2,1,2,2,10,4,5,200,0.052,0.5,1,0.7,0.7,47
20,7,8,6,2,1823,0.022,2,1,4,4,3,3,3,8,3,4,200,0.014,0.5,1,0.8,0.8,56
20,16,8,5,4,1823,0.024,2,3,2,3,1,3,3,10,3,5,200,0.058,0.8,1,0.9,0.9,56
20,13,14,3,0,1823,0.022,1,3,2,3,1,2,2,6,3,3,200,0.013,0.4,1,0.7,0.7,47
20,10,7,9,8,1823,0.025,2,3,2,3,1,3,3,15,4,7,200,0.056,0.8,1,0.8,0.8,59
20,4,12,5,3,1823,0.024,11,1,2,2,3,2,2,8,3,5,200,0.014,0.4,1,0.8,0.8,62
20,35,30,2,0,1823,0.023,1,1,2,2,3,1,2,4,3,3,200,0.009,0.2,1,0.8,0.8,43
20,3,8,6,5,1823,0.024,2,1,2,2,3,2,2,10,3,4,200,0.008,0.3,1,0.6,0.6,60
20,10,6,9,2,1823,0.024,2,3,2,3,1,2,2,15,3,6,200,0.031,0.9,1,0.7,0.7,62
100,5,15,3,2,1823,0.02,2,4,2,2,1,0.8,0.8,5,4,4,200,0.018,0.4,1,0.7,0.7,57
100,20,8,4,0,1823,0.021,1,1,3,3,5,2,3,10,3,5,200,0.011,0.7,1,0.7,0.7,48
100,7,8,8,7,1823,0.022,2,1,2,2,5,3,3,15,5,6,200,0.037,0.8,1,0.8,0.8,60
100,16,8,4,3,1823,0.021,2,1,2,2,5,2,2,10,3,5,200,0.036,0.4,1,0.7,0.7,47
100,13,14,3,0,1823,0.02,3,5,2,3,1,2,2,6,3,3,200,0.012,0.2,1,0.7,0.7,42
100,10,7,5,0,1823,0.02,1,5,2,3,1,3,3,10,2,3,200,0.049,0.7,1,0.8,0.8,43
100,4,12,5,4,1823,0.02,1,1,2,2,4,2,3,10,2,5,200,0.018,0.2,1,0.7,0.7,53
100,35,30,2,0,1823,0.02,1,1,2,2,4,1,2,5,3,3,200,0.008,0.2,1,0.6,0.6,41
100,3,8,9,8,1823,0.022,6,5,2,2,1,3,3,15,2,3,200,0.039,0.4,1,0.7,0.7,52
100,10,6,6,3,1823,0.024,2,1,4,4,5,3,4,15,5,6,200,0.031,0.3,1,0.7,0.7,60
200,5,15,3,2,1823,0.018,4,4,2,2,1,0.5,0.5,8,2,4,200,0.011,0.2,1,1,1,60
200,20,8,3,0,1823,0.017,1,1,2,2,6,1,2,8,2,3,200,0.015,0.3,1,0.8,0.8,43
200,7,8,9,3,1823,0.017,2,1,3,3,6,3,4,27,0.9,3,200,0.025,0.4,1,0.7,0.7,57
200,16,8,5,4,1823,0.017,3,1,3,3,6,2,3,10,3,5,200,0.025,0.4,1,0.8,0.8,56
200,13,14,3,1,1823,0.017,1,1,2,2,6,2,3,8,2,3,200,0.014,0.3,1,0.8,0.8,46
200,4,12,4,3,1823,0.018,1,4,2,3,1,3,3,8,3,4,200,0.022,0.3,1,0.7,0.7,57
200,35,30,2,0,1823,0.017,1,1,2,2,4,1,2,8,2,2,200,0.01,0.2,1,0.8,0.8,44
200,12,8,5,0,1823,0.019,6,6,3,4,1,4,4,10,4,5,200,0.053,0.5,1,0.7,0.7,57
200,3,7,9,8,1823,0.018,2,6,3,3,1,3,3,15,2,3,200,0.023,0.3,1,0.7,0.7,51
200,10,6,9,1,1823,0.019,2,6,3,3,1,3,3,27,2,5,200,0.016,0.2,1,0.8,0.8,55
500,5,15,3,2,1823,0.021,1,1,2,2,4,1,2,29,0.8,2,200,0.011,0.2,1,0.6,0.6,56
500,20,8,4,0,1823,0.02,2,6,2,2,1,3,3,29,0.7,3,200,0.019,0.3,1,0.8,0.8,44
500,7,8,8,7,1823,0.022,2,7,3,4,1,4,4,29,2,7,200,0.03,0.4,1,0.7,0.7,63
500,16,8,3,0,1823,0.02,1,6,1,2,1,0.5,0.5,29,0.6,2,200,0.014,0.2,1,0.8,0.8,41
500,10,7,5,4,1823,0.02,1,1,4,4,7,2,4,29,1,6,200,0.058,0.5,1,0.7,0.7,50
500,4,12,4,3,1823,0.02,1,1,2,2,4,3,3,29,0.7,3,200,0.014,0.4,1,0.7,0.7,55
500,35,30,2,0,1823,0.02,1,1,2,2,4,1,2,29,0.6,2,200,0.011,0.2,1,0.7,0.7,45
500,12,8,5,0,1823,0.02,2,6,2,3,1,3,3,29,0.9,6,200,0.051,0.6,1,0.8,0.8,51
500,3,8,9,8,1823,0.022,2,1,3,3,7,3,3,29,0.7,3,200,0.019,0.2,1,0.7,0.7,57
500,10,6,5,2,1823,0.023,2,7,3,4,1,2,2,29,0.9,5,200,0.016,0.3,1,1,1,53
