Datasize,IdleTimeout,BacklogTimeout,ExecutorAdded,ExecutorRemoved,ExecutionTime,,,,,,Datasize,ExecutionTime
20,5,15,4,2,52.409,,2,,,,20,52.409
20,20,8,6,0,47.641,,,,,,100,58.006
20,20,15,3,0,50.534,,,,,,200,64.0129
20,16,8,5,0,40.34,,,,,,500,85.343
20,3,19,5,4,91.643,,,,,,,
20,6,12,7,6,70.209,,,,,,,
20,10,12,4,3,48.524,,,,,,,
20,11,6,11,5,49.594,,,,,,,
20,17,9,6,5,48.032,,,,,,,
20,10,9,5,1,64.889,,,,,,,
100,5,15,6,5,80.516,,,,,,,
100,9,8,8,2,65.661,,,,,,,
100,20,8,7,0,60.982,,,,,,,
100,5,10,11,10,69.182,,,,,,,
100,10,7,17,9,63.373,,,,,,,
100,12,15,4,0,60.679,,,,,,,
100,11,8,8,3,69.276,,,,,,,
100,15,12,6,0,92.786,,,,,,,
100,3,19,7,6,103.863,,,,,,,
100,9,6,8,7,58.006,,,,,,,
200,5,15,8,7,81.041,,,,,,,
200,17,9,6,0,61.354,,,,,,,
200,20,8,7,0,54.557,,,,,,,
200,15,20,4,3,64.0129,,,,,,,
200,12,8,7,6,50.918,,,,,,,
200,12,15,5,0,76.694,,,,,,,
200,9,18,5,4,75.239,,,,,,,
200,9,8,13,12,65.842,,,,,,,
200,9,12,10,9,80.96,,,,,,,
200,14,10,6,5,60.529,,,,,,,
500,6,15,8,7,107.267,,,,,,,
500,17,11,7,6,75.966,,,,,,,
500,20,15,6,4,77.909,,,,,,,
500,15,20,4,0,90.316,,,,,,,
500,12,11,7,0,72.492,,,,,,,
500,12,15,5,4,69.671,,,,,,,
500,9,18,9,1,134.206,,,,,,,
500,30,15,6,0,79.321,,,,,,,
500,9,12,9,8,75.369,,,,,,,
500,15,25,4,3,85.343,,,,,,,
