Datasize,IdleTimeout,BacklogTimeout,ExecutorAdded,ExecutorRemoved,ExecutionTime,Stage0_Tasks,Stage0_Median,Stage0_Max,Stage1_Tasks,Stage1_Median,Stage1_Max,Stage2_Tasks,Stage2_Median,Stage2_Max,Stage3_Tasks,Stage3_Median,Stage3_Max,Stage4_Tasks,Stage4_Median,Stage4_Max,Stage5_Tasks,Stage5_Median,Stage5_Max,Stage6_Tasks,Stage6_Median,Stage6_Max,Stage7_Tasks,Stage7_Median,Stage7_Max,Stage8_Tasks,Stage8_Median,Stage8_Max,Stage9_Tasks,Stage9_Median,Stage9_Max,Stage10_Tasks,Stage10_Median,Stage10_Max,Stage11_Tasks,Stage11_Median,Stage11_Max
20,5,15,4,2,52.409,1823,0.023,1,1,2,2,1,2,2,1,0.7,0.7,16,5,7,200,0.007,1,200,0.01,1,200,0.005,0.6,16,6,9,200,0.003,0.2,200,0.007,0.3,1,0.8,0.8
20,20,8,6,0,47.641,1823,0.024,4,1,2,2,1,3,3,1,5,5,16,8,14,200,0.026,1,200,0.031,2,200,0.018,1,16,7,12,200,0.014,0.4,200,0.026,0.8,1,0.8,0.8
20,20,15,3,0,50.534,1823,0.023,1,1,2,2,1,2,2,1,1,1,16,6,9,200,0.009,0.4,200,0.011,0.6,200,0.005,0.4,16,6,9,200,0.003,0.2,200,0.006,0.3,1,0.8,0.8
20,16,8,5,0,40.34,1823,0.022,1,1,2,2,1,2,2,16,6,10,200,0.015,0.9,200,0.02,1,1,0.2,0.3,200,0.007,0.5,16,6,9,200,0.005,0.2,200,0.012,0.4,1,0.8,0.8
20,3,19,5,4,91.643,1823,0.023,2,1,2,2,1,2,2,1,0.7,0.7,16,6,10,200,0.007,0.2,200,0.008,0.3,200,0.004,0.2,16,6,14,200,0.003,0.3,200,0.004,0.3,1,0.9,0.9
20,6,12,7,6,70.209,1823,0.023,4,1,2,2,1,4,4,16,6,10,200,0.09,0.3,200,0.011,0.4,1,0.3,0.3,200,0.005,0.2,16,6,10,200,0.003,0.3,200,0.005,0.3,1,1,1
20,10,12,4,3,48.524,1823,0.023,4,1,2,2,1,3,3,1,1,1,16,7,10,200,0.01,0.8,200,0.018,0.6,200,0.007,0.5,16,6,8,200,0.005,0.2,200,0.007,0.3,1,1,1
20,11,6,11,5,49.594,1823,0.023,2,1,3,3,1,2,2,1,1,1,16,7,10,200,0.017,0.5,200,0.021,0.7,200,0.007,0.4,16,6,7,200,0.005,1,200,0.009,0.5,1,0.7,0.7
20,17,9,6,5,48.032,1823,0.022,5,1,2,2,1,3,3,16,8,14,200,0.029,1,200,0.031,1,1,0.3,0.3,200,0.015,0.8,16,8,13,200,0.012,0.3,200,0.019,0.6,1,1,1
20,10,9,5,1,64.889,1823,0.024,1,1,2,2,1,2,2,16,6,10,200,0.031,0.6,200,0.046,0.8,1,0.3,0.3,200,0.026,0.6,16,7,14,200,0.013,0.3,200,0.018,0.4,1,0.8,0.8
100,5,15,6,5,80.516,1823,0.023,3,1,2,2,1,2,2,1,0.7,0.7,32,5,11,200,0.007,0.5,200,0.011,0.7,200,0.005,0.5,32,5,10,200,0.005,0.2,200,0.009,0.3,1,0.8,0.8
100,9,8,8,2,65.661,1823,0.024,4,1,2,2,1,2,2,1,0.6,0.6,32,6,12,200,0.007,0.5,200,0.012,0.7,200,0.006,0.5,32,6,10,200,0.008,0.4,200,0.012,0.5,1,1,1
100,20,8,7,0,60.982,1823,0.022,2,1,4,4,1,3,3,1,5,5,32,6,9,200,0.008,0.7,200,0.01,1,200,0.005,1,32,6,9,200,0.003,1,200,0.005,0.6,1,0.9,0.9
100,5,10,11,10,69.182,1823,0.022,3,1,2,2,1,2,2,1,0.6,0.6,32,4,10,200,0.008,1,200,0.012,2,200,0.005,0.8,32,5,10,200,0.007,0.9,200,0.009,0.4,1,0.9,0.9
100,10,7,17,9,63.373,1823,0.024,12,1,2,2,1,2,2,1,0.6,0.6,32,5,11,200,0.016,1,200,0.014,1,200,0.005,0.6,32,5,11,200,0.008,0.6,200,0.013,1,1,0.8,0.8
100,12,15,4,0,60.679,1823,0.022,5,1,2,2,1,2,2,32,4,9,200,0.006,0.6,200,0.009,0.8,1,0.3,0.3,200,0.004,0.7,32,5,10,200,0.003,0.3,200,0.006,0.4,1,0.8,0.8
100,11,8,8,3,69.276,1823,0.022,7,1,2,2,1,2,2,1,0.6,0.6,32,4,9,200,0.007,0.7,200,0.01,0.8,200,0.005,0.5,32,5,10,200,0.004,0.9,200,0.007,0.9,1,0.7,0.7
